,t_idx,Rxx,Rxy,Rxz,Rxvx,Rxvy,Rxvz,b,b_dot,sv,prange,doppler,times,x,y,z,vx,vy,vz,time,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,C_rs,deltaN,M_0,C_uc,e,C_us,sqrtA,t_oe,C_ic,Omega_0,C_is,i_0,C_rc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime,FitIntvl,source,t_oc,Leap Seconds
0,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G10,22300887.962693635,682.856227454549,434853.37406705366,-19149465.03598929,-5008346.538079809,-17734409.698029168,-1244.1884084337385,-1891.6772518430296,1845.2978393375558,2020-05-15 00:00:00+00:00,-0.000341107137501,-1.15960574476e-11,0.0,55.0,-74.84375,4.57304762865e-09,1.2557474826,-3.71411442757e-06,0.00559410371352,7.53998756409e-06,5153.66938972,432000.0,2.79396772385e-08,-1.92261369025,1.17346644402e-07,0.965280394683,237.84375,-2.62994396619,-8.15283959849e-09,-2.05008539429e-10,1.0,2105.0,0.0,2.0,0.0,2.32830643654e-09,55.0,424818.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
1,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G12,22730409.956062265,893.2155196371583,434853.3730933541,-9242889.714864952,-23853227.62345881,-7684327.3733802615,672.4372852592201,682.0821716552346,-3003.739144660732,2020-05-15 00:00:00+00:00,0.000117872841656,-4.43378667114e-12,0.0,15.0,13.90625,3.99338062605e-09,1.91893222179,6.5378844738e-07,0.00809453730471,7.2605907917e-06,5153.69629097,432000.0,-4.842877388e-08,1.29160721228,-1.4528632164e-07,0.978303521103,248.125,1.14902806954,-7.8103253314e-09,-1.52506352502e-10,1.0,2105.0,0.0,2.0,0.0,-1.210719347e-08,15.0,424818.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
2,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G14,25137477.18683672,2193.380060835236,434853.36493347265,-17706788.094425406,14963442.903689157,-12441798.111708237,538.963018580584,-1572.744339535927,-2604.9678980009976,2020-05-15 00:00:00+00:00,-1.29500404e-05,2.6147972676e-12,0.0,93.0,1.65625,4.56340436982e-09,-1.01150830609,9.685754776e-08,0.0114137083292,9.60379838944e-06,5153.64242554,432000.0,-2.60770320892e-08,-0.792387076045,2.94297933578e-07,0.960377408648,195.75,-1.91814951088,-8.08569394446e-09,5.42879755978e-11,1.0,2105.0,0.0,2.0,0.0,-9.77888703346e-09,93.0,424818.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
3,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G15,23506842.64759863,-1429.7808941543883,434853.3701544378,2033739.7112070804,-25318683.42238306,-7374945.914448798,638.2161472592641,-755.8463762251733,2931.336624869838,2020-05-15 00:00:00+00:00,-0.000231180805713,2.6147972676e-12,0.0,60.0,-7.8125,5.11664170009e-09,-1.62580774757,-4.37721610069e-07,0.012252445682,9.20332968235e-06,5153.68129158,432000.0,2.70083546638e-07,-0.977365546307,-1.15483999252e-07,0.928048557565,183.6875,0.87686486341,-8.10355183118e-09,2.46438836595e-11,1.0,2105.0,0.0,2.0,0.0,-1.07102096081e-08,60.0,429288.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
4,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G18,25386066.51963584,-2122.7093174431666,434853.36430699966,-21994849.70840499,-7055374.300643496,13121484.971161988,1638.049542494947,-373.6680801529162,2541.2936629848373,2020-05-15 00:14:40+00:00,0.000189818441868,1.20508047985e-11,0.0,80.0,-12.96875,4.71698219553e-09,-2.22567353896,-5.79282641411e-07,0.000461416668259,4.6081840992e-06,5153.72591019,432880.0,1.86264514923e-09,-2.94253798118,-3.16649675369e-08,0.963878035561,295.0625,2.58386211838,-8.21891377932e-09,1.54649298907e-10,1.0,2105.0,0.0,2.8,63.0,-7.91624188423e-09,848.0,425718.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432880.0,18
5,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G20,22549050.57091914,-880.6389654915669,434853.37410813593,-21620120.49335311,-13324607.795065148,-8226756.084350845,-494.9330758356248,-960.5896098766639,2862.0966713638104,2020-05-15 00:00:00+00:00,0.000527694355696,-1.13686837722e-13,0.0,69.0,-69.9375,5.28307708692e-09,2.81508814996,-3.53902578354e-06,0.00510912633035,6.38328492641e-06,5153.64671135,432000.0,-7.264316082e-08,-2.05307544596,1.60187482834e-07,0.933691573876,242.75,2.65936072669,-8.39927860596e-09,-9.64325910791e-11,1.0,2105.0,0.0,2.0,0.0,-8.84756445885e-09,69.0,432000.0,0.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
6,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G21,25632161.671686824,-2410.462202026616,434853.3632948516,-23178561.763957806,-4726851.849673434,12582784.994380506,1417.838568515834,-520.7277579212198,2600.0145473674825,2020-05-15 00:00:00+00:00,-1.33039429784e-06,5.00222085975e-12,0.0,13.0,-10.71875,4.91806199988e-09,1.4822949354,-9.83476638794e-07,0.0239495625719,4.02703881264e-06,5155.15074539,432000.0,3.48314642906e-07,-3.03370600306,-5.71832060814e-07,0.953249273013,297.40625,-1.3292077267,-8.27713048999e-09,1.82864759908e-10,1.0,2105.0,0.0,2.0,0.0,-1.02445483208e-08,13.0,429889.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
7,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G24,22656501.06241713,-1067.1745232339392,434853.3732090205,-4542002.70908962,-15231176.536890026,-21491311.365399506,2646.1184371668755,-487.5175422946133,-179.14706638108925,2020-05-15 00:00:00+00:00,-1.30292028189e-05,-4.54747350886e-13,0.0,85.0,36.9375,5.04163866211e-09,-2.70559648081,1.92224979401e-06,0.00964848964941,6.45034015179e-06,5153.65176773,432000.0,1.86264514923e-08,0.113781907565,-9.87201929092e-08,0.936885416627,242.3125,0.667999599036,-8.1810549446e-09,9.07180650045e-11,1.0,2105.0,0.0,2.0,0.0,2.79396772385e-09,85.0,432000.0,0.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
8,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G25,23210459.016274843,1881.4639104658343,434853.37137833034,-16645712.322484775,-20830916.549434107,1236415.290315564,85.41235293801651,-294.4028095717922,-3163.742573023967,2020-05-15 00:00:00+00:00,4.12063673139e-06,3.06954461848e-12,0.0,92.0,15.9375,4.33839499728e-09,1.72268935254,7.43195414543e-07,0.0092570099514,7.28294253349e-06,5153.55092239,432000.0,-1.76951289177e-07,1.22279613354,-5.02914190292e-08,0.965668012383,240.90625,0.930827022282,-8.03390607301e-09,-1.92508018732e-10,1.0,2105.0,0.0,2.0,0.0,5.58793544769e-09,92.0,427296.0,4.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
9,2020-05-15 00:47:15.448796+00:00,-2700589.497045061,-2700589.497045061,-2700628.9007463255,0.0,0.0,0.0,0.0,0.0,G32,23948764.496130012,1834.404277440495,434853.3691921051,-17325885.539990548,7587627.890878858,-18505017.4913067,766.603973506378,-2251.9193333958565,-1648.2144191384245,2020-05-15 00:00:00+00:00,0.000280572567135,7.61701812735e-12,0.0,58.0,-4.90625,4.61269200613e-09,-0.0856414011824,-2.96160578728e-07,0.00396490260027,9.51625406742e-06,5153.7134285,432000.0,3.35276126862e-08,-0.879857505185,8.75443220139e-08,0.956695384283,193.1875,-2.44788766016,-8.05533595383e-09,6.6788498343e-11,1.0,2105.0,0.0,2.0,0.0,4.65661287308e-10,58.0,432000.0,0.0,/scratch/groups/gracegao/Google_GNSS_data/ephemeris/nasa/brdc1360.20n,432000.0,18
